file,sheet,cycle1_min_cycle,n_steps_cycle1,signature,out_csv
DOE-001-050-10DU 01.xlsx,Channel_49_1,1,6,"Rest (3480s, I~0.00A, V[3.41,3.41]) | Hold (CV-ish) (345s, I~3.68A, V[4.20,4.20]) | Charge (CC-ish) (4209s, I~1.91A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.28,4.30]) | Discharge (CC-ish) (4052s, I~-2.28A, V[3.00,3.92]) | Rest (180s, I~0.00A, V[3.63,3.67])",protocol_summaries/DOE-001-050-10DU 01__Channel_49_1.csv
DOE-001-050-10DU 02.xlsx,Channel_57_1,1,6,"Rest (3480s, I~0.00A, V[3.41,3.41]) | Hold (CV-ish) (397s, I~3.67A, V[4.20,4.20]) | Charge (CC-ish) (9267s, I~1.00A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.38,4.39]) | Discharge (CC-ish) (4661s, I~-2.28A, V[3.00,4.00]) | Rest (180s, I~0.00A, V[3.61,3.66])",protocol_summaries/DOE-001-050-10DU 02__Channel_57_1.csv
DOE-001-050-10DU 03.xlsx,Channel_65_1,1,6,"Rest (3480s, I~0.00A, V[3.41,3.41]) | Hold (CV-ish) (396s, I~3.64A, V[4.20,4.20]) | Charge (CC-ish) (3984s, I~1.97A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.28,4.30]) | Discharge (CC-ish) (2606s, I~-3.26A, V[3.00,3.78]) | Rest (180s, I~0.00A, V[3.67,3.70])",protocol_summaries/DOE-001-050-10DU 03__Channel_65_1.csv
DOE-001-050-10DU 04.xlsx,Channel_73_1,1,6,"Rest (3480s, I~0.00A, V[3.45,3.45]) | Hold (CV-ish) (0s, I~3.26A, V[4.20,4.20]) | Charge (CC-ish) (9913s, I~1.11A, V[4.14,4.40]) | Rest (180s, I~0.00A, V[4.38,4.38]) | Discharge (CC-ish) (2998s, I~-3.26A, V[3.00,3.80]) | Rest (180s, I~0.00A, V[3.67,3.70])",protocol_summaries/DOE-001-050-10DU 04__Channel_73_1.csv
DOE-001-050-10DU 05.xlsx,Channel_81_1,1,6,"Rest (3480s, I~0.00A, V[3.42,3.42]) | Hold (CV-ish) (433s, I~3.70A, V[4.20,4.20]) | Charge (CC-ish) (3913s, I~1.98A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.28,4.30]) | Discharge (CC-ish) (867s, I~-6.52A, V[3.00,3.42]) | Rest (180s, I~0.00A, V[3.75,3.77])",protocol_summaries/DOE-001-050-10DU 05__Channel_81_1.csv
DOE-001-050-10DU 06.xlsx,Channel_89_1,1,6,"Rest (3480s, I~0.00A, V[3.42,3.42]) | Hold (CV-ish) (463s, I~3.68A, V[4.20,4.20]) | Charge (CC-ish) (8934s, I~1.02A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.38,4.39]) | Discharge (CC-ish) (1186s, I~-6.52A, V[3.00,3.52]) | Rest (180s, I~0.00A, V[3.72,3.75])",protocol_summaries/DOE-001-050-10DU 06__Channel_89_1.csv
DOE-001-050-25DU 07.xlsx,Channel_16_1,1,6,"Rest (0s, I~0.00A, V[3.50,3.50]) | Charge (CC-ish) (1184s, I~4.37A, V[4.07,4.20]) | Charge (CC-ish) (2245s, I~2.08A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.33,4.34]) | Discharge (CC-ish) (4697s, I~-2.28A, V[3.00,4.11]) | Rest (180s, I~0.00A, V[3.39,3.41])",protocol_summaries/DOE-001-050-25DU 07__Channel_16_1.csv
DOE-001-050-25DU 08.xlsx,Channel_25_1,1,6,"Rest (0s, I~0.00A, V[3.48,3.48]) | Charge (CC-ish) (1239s, I~4.36A, V[4.06,4.20]) | Charge (CC-ish) (5354s, I~1.00A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.39,4.39]) | Discharge (CC-ish) (5080s, I~-2.28A, V[3.00,4.17]) | Rest (180s, I~0.00A, V[3.38,3.40])",protocol_summaries/DOE-001-050-25DU 08__Channel_25_1.csv
DOE-001-050-25DU 09.xlsx,Channel_46_1,1,6,"Rest (0s, I~0.00A, V[3.50,3.50]) | Charge (CC-ish) (1256s, I~4.40A, V[4.06,4.20]) | Charge (CC-ish) (2096s, I~2.03A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.33,4.34]) | Discharge (CC-ish) (3224s, I~-3.26A, V[3.00,4.03]) | Rest (180s, I~0.00A, V[3.48,3.51])",protocol_summaries/DOE-001-050-25DU 09__Channel_46_1.csv
DOE-001-050-25DU 10.xlsx,Channel_58_1,1,6,"Rest (0s, I~0.00A, V[3.48,3.48]) | Charge (CC-ish) (1225s, I~4.33A, V[4.06,4.20]) | Charge (CC-ish) (6090s, I~0.95A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.39,4.39]) | Discharge (CC-ish) (3466s, I~-3.26A, V[3.00,4.08]) | Rest (180s, I~0.00A, V[3.51,3.54])",protocol_summaries/DOE-001-050-25DU 10__Channel_58_1.csv
DOE-001-050-25DU 11.xlsx,Channel_84_1,1,6,"Rest (0s, I~0.00A, V[3.49,3.49]) | Charge (CC-ish) (1175s, I~4.36A, V[4.07,4.20]) | Charge (CC-ish) (2246s, I~2.08A, V[4.22,4.40]) | Rest (180s, I~0.00A, V[4.33,4.33]) | Discharge (CC-ish) (1433s, I~-6.52A, V[3.00,3.72]) | Rest (180s, I~0.00A, V[3.66,3.69])",protocol_summaries/DOE-001-050-25DU 11__Channel_84_1.csv
